full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
rapid7/metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,['metasploit module OR payload'],1,2022-03-10T00:16:31+0000,696682,26582,Ruby,12023,[]
not-ilinked/VC-lag-exploit-v2,"yep, it happened again",https://github.com/not-ilinked/VC-lag-exploit-v2,['exploit'],1,2022-03-10T17:51:02+0000,9140,1,C#,0,[]
mauricelambert/CVE-2021-31166,"CVE-2022-31166: exploitation with Powershell, Python, Ruby, NMAP and Metasploit.",https://github.com/mauricelambert/CVE-2021-31166,"['cve-2 OR cve_2', 'exploit', 'metasploit module OR payload']",3,2022-03-10T20:15:17+0000,27,1,Python,0,"['CVE-2021-31166', 'CVE-2022-31166']"
rahul1406/cve-2022-0847dirtypipe-exploit,None,https://github.com/rahul1406/cve-2022-0847dirtypipe-exploit,"['cve-2 OR cve_2', 'exploit']",2,2022-03-10T18:17:01+0000,19,2,C,5,['CVE-2022-0847']
puckiestyle/CVE-2022-0847,None,https://github.com/puckiestyle/CVE-2022-0847,['cve-2 OR cve_2'],1,2022-03-10T08:10:40+0000,16,0,C,1,['CVE-2022-0847']
dmzhari/Suppboard-Exploit-3.5.6,Support board Exploit add user with CSRF,https://github.com/dmzhari/Suppboard-Exploit-3.5.6,['exploit'],1,2022-03-10T01:06:58+0000,27,0,HTML,0,[]
Spard2/ps4exploit,None,https://github.com/Spard2/ps4exploit,['exploit'],1,2022-03-10T15:42:45+0000,2205,0,HTML,0,[]
mauricelambert/CVE-2021-42013,"These Nmap, Python and Ruby scripts detects and exploits CVE-2021-42013 with RCE and local file disclosure.",https://github.com/mauricelambert/CVE-2021-42013,"['cve-2 OR cve_2', 'exploit', 'rce']",3,2022-03-10T07:04:18+0000,20,0,Python,0,['CVE-2021-42013']
mauricelambert/CVE-2021-41773,"These Nmap, Python and Ruby scripts detects and exploits CVE-2021-41773 with RCE and local file disclosure.",https://github.com/mauricelambert/CVE-2021-41773,"['cve-2 OR cve_2', 'exploit', 'rce']",3,2022-03-10T07:06:34+0000,20,0,Python,0,['CVE-2021-41773']
T4t4ru/CVE-2022-0847,None,https://github.com/T4t4ru/CVE-2022-0847,['cve-2 OR cve_2'],1,2022-03-10T13:57:29+0000,5,0,C,0,['CVE-2022-0847']
novafacing/vscdbg,VSCode debugger extension for binary exploitation.,https://github.com/novafacing/vscdbg,['exploit'],1,2022-03-10T05:14:19+0000,52,0,TypeScript,0,[]
Anaas0/apache_http_server_2_4_4_9_path_traversal_and_remote_code_execution,None,https://github.com/Anaas0/apache_http_server_2_4_4_9_path_traversal_and_remote_code_execution,['remote code execution'],1,2022-03-10T15:43:57+0000,10044,0,Puppet,0,[]
JustinApplegate/exploit-code,A collection of exploit code I created for various software or CVEs,https://github.com/JustinApplegate/exploit-code,['exploit'],1,2022-03-10T00:16:06+0000,0,0,Python,0,[]
hustvl/AziNorm,"AziNorm: Exploiting the Radial Symmetry of Point Cloud for Azimuth-Normalized 3D Perception, CVPR 2022.",https://github.com/hustvl/AziNorm,['exploit'],1,2022-03-10T00:39:26+0000,0,1,,0,[]
Mario-Kart-Felix/solar-wind-hacker-book,"2020 was a roller coaster of major, world-shaking events. We all couldn't wait for the year to end. But just as 2020 was about to close, it pulled another fast one on us: the SolarWinds hack, one of the biggest cybersecurity breaches of the 21st century.  ",https://github.com/Mario-Kart-Felix/solar-wind-hacker-book,"['command injection', 'exploit']",2,2022-03-10T00:46:48+0000,0,0,,0,[]
babyshen/CVE-2022-0847,A root exploit for CVE-2022-0847 (Dirty Pipe),https://github.com/babyshen/CVE-2022-0847,"['cve-2 OR cve_2', 'exploit']",2,2022-03-10T01:02:13+0000,5,0,C,0,['CVE-2022-0847']
edsonjt81/CVE-2022-0847-Linux,None,https://github.com/edsonjt81/CVE-2022-0847-Linux,['cve-2 OR cve_2'],1,2022-03-10T01:18:33+0000,0,0,C,0,['CVE-2022-0847']
edsonjt81/CVE-2021-4034-Linux,None,https://github.com/edsonjt81/CVE-2021-4034-Linux,['cve-2 OR cve_2'],1,2022-03-10T01:24:22+0000,0,0,C,0,['CVE-2021-4034']
chenaotian/CVE-2022-0847,CVE-2022-0847 POC and Docker and Analysis write up,https://github.com/chenaotian/CVE-2022-0847,"['cve poc', 'cve-2 OR cve_2']",2,2022-03-10T01:31:57+0000,0,0,C,0,['CVE-2022-0847']
Darkhaxxor005/Metapy,A python3 FUD Metasploit payload.exe generator for windows.,https://github.com/Darkhaxxor005/Metapy,['metasploit module OR payload'],1,2022-03-10T14:54:21+0000,1698,0,Python,0,[]
ex0dus-0x/sneak,A container/VM malware that finds and exploits SSRF opportunities in a compromised cloud environment,https://github.com/ex0dus-0x/sneak,['exploit'],1,2022-03-10T00:23:08+0000,20,1,Go,0,[]
zhangweijie11/CNVD-2021-49104,nan,https://github.com/zhangweijie11/CNVD-2021-49104,['cnvd-c OR cnvd-2 OR cnnvd-2'],1,2022-03-10T01:38:39+0000,0,0,Python,0,['CNVD-2021-49104']
HawkstoNGriM/NeonEx,"A platform for CMS version detection, exploit suggestion and CVE display based on vulnerability.",https://github.com/HawkstoNGriM/NeonEx,['exploit'],1,2022-03-10T16:57:25+0000,14,2,PHP,0,[]
kmeps4/900manual,Kameleon PS4 9.00FW Manual Exploit Host,https://github.com/kmeps4/900manual,['exploit'],1,2022-03-10T19:34:16+0000,2258,0,JavaScript,0,[]
Cebago/polymorphic-shellcode,A polymorpher for assembly programs,https://github.com/Cebago/polymorphic-shellcode,['shellcode'],1,2022-03-10T15:10:03+0000,114,0,Python,0,[]
kibotrel/42-Rainfall,Information security project. This is a collection of ELF binaries exploits to better understand how memory works.,https://github.com/kibotrel/42-Rainfall,['exploit'],1,2022-03-10T03:50:48+0000,37,0,C,0,[]
kmeps4/stooged900,Stooged PS4 9.00FW Exploit Host,https://github.com/kmeps4/stooged900,['exploit'],1,2022-03-10T19:45:17+0000,531,0,HTML,0,[]
Proviesec/command-injection-payload,None,https://github.com/Proviesec/command-injection-payload,['command injection'],1,2022-03-10T07:39:14+0000,8,1,,1,[]
h4ck3r0/Metasploit-termux,Install Metasploit In Termux Without Error,https://github.com/h4ck3r0/Metasploit-termux,"['exploit', 'metasploit module OR payload']",2,2022-03-10T13:54:00+0000,3845,3,Shell,0,[]
bjelefano/CSC427Winter2022-MetasploitLab,Lab Assignment for the Winter 2022 CSC427 Metasploit Presentation,https://github.com/bjelefano/CSC427Winter2022-MetasploitLab,['metasploit module OR payload'],1,2022-03-10T10:53:41+0000,865254,0,Shell,0,[]
AviaAlex/ExploitWebsite,A exploit system called Neutron,https://github.com/AviaAlex/ExploitWebsite,['exploit'],1,2022-03-10T00:49:50+0000,130,0,HTML,0,[]
kartikchincholikar/Badminton-Analysis,"An attempt to collect and use data to find a player's ""Patterns of Play"". These can be exploited in a match.",https://github.com/kartikchincholikar/Badminton-Analysis,['exploit'],1,2022-03-10T13:53:23+0000,1772,0,Jupyter Notebook,0,[]
hellwolf/popsicle-exploit,Using various tools to rediscover popsicle exploit,https://github.com/hellwolf/popsicle-exploit,['exploit'],1,2022-03-10T16:20:39+0000,27,15,Solidity,0,[]
NickeNicrad/rcep_environmental,None,https://github.com/NickeNicrad/rcep_environmental,['rce'],1,2022-03-10T11:55:56+0000,9738,0,JavaScript,0,[]
YutuSec/Sunlogin_RCE_DetectNew,None,https://github.com/YutuSec/Sunlogin_RCE_DetectNew,['rce'],1,2022-03-10T08:40:56+0000,7,1,Go,0,[]
spencercz/bufoverflow,Basic buffer overflow exploit for ECE 209AS,https://github.com/spencercz/bufoverflow,['exploit'],1,2022-03-10T18:29:32+0000,4,0,C,0,[]
Tegan478/wordleGA,This uses a genetic algorithm to find how large the search space should be when moving from exploration to exploitation in a wordle game.,https://github.com/Tegan478/wordleGA,['exploit'],1,2022-03-10T23:47:19+0000,71,0,Java,0,[]
MihranGIT/Polymorphic-shellcode-generator,None,https://github.com/MihranGIT/Polymorphic-shellcode-generator,['shellcode'],1,2022-03-10T09:35:05+0000,19,0,Python,0,[]
vlongle/Imperfecto,"Python library of imperfect information games, and self-play and exploitative algorithms",https://github.com/vlongle/Imperfecto,['exploit'],1,2022-03-10T06:15:46+0000,7921,3,Python,0,[]
T4t4ru/Exploit-Education,None,https://github.com/T4t4ru/Exploit-Education,['exploit'],1,2022-03-10T06:45:19+0000,16,0,C,0,[]
babyshen/CVE-2019-13272,None,https://github.com/babyshen/CVE-2019-13272,['cve-2 OR cve_2'],1,2022-03-10T01:29:10+0000,0,0,C,0,['CVE-2019-13272']
ZerodayCollections/ZerodayCollections,Config files for my GitHub profile.,https://github.com/ZerodayCollections/ZerodayCollections,['zeroday'],1,2022-03-10T02:34:12+0000,0,0,,0,[]
beefproject/beef,The Browser Exploitation Framework Project,https://github.com/beefproject/beef,['exploit'],1,2022-03-10T13:13:54+0000,22299,6831,JavaScript,1582,[]
houdinicc/pocsuite3-exp,Write vulnerability exp through pocsuite3,https://github.com/houdinicc/pocsuite3-exp,['vulnerability poc'],1,2022-03-10T14:30:52+0000,0,0,,0,[]
alv-es/Metasploitable3,None,https://github.com/alv-es/Metasploitable3,['metasploit module OR payload'],1,2022-03-10T15:04:12+0000,0,0,,0,[]
MarcusWerren/Gravitational-Particle-Swarm-Optimisation-with-an-Exploitative-Approach-to-Train-Neural-Networks,None,https://github.com/MarcusWerren/Gravitational-Particle-Swarm-Optimisation-with-an-Exploitative-Approach-to-Train-Neural-Networks,['exploit'],1,2022-03-10T15:08:34+0000,0,0,Python,0,[]
bytec0pe/FortEx,"Undetected up-to-date internal Fortnite cheat, with multiple private exploits.",https://github.com/bytec0pe/FortEx,['exploit'],1,2022-03-10T15:55:04+0000,0,1,,0,[]
michaelklaan/CVE-2022-22947-Spring-Cloud,None,https://github.com/michaelklaan/CVE-2022-22947-Spring-Cloud,['cve-2 OR cve_2'],1,2022-03-10T16:08:33+0000,0,0,Python,0,['CVE-2022-22947']
michaelklaan/CVE-2022-0847-Dirty-Pipe,None,https://github.com/michaelklaan/CVE-2022-0847-Dirty-Pipe,['cve-2 OR cve_2'],1,2022-03-10T16:09:25+0000,0,0,,0,['CVE-2022-0847']
1048362671qqtt/NinjaJc01,Exploits for the TryHackMe room hackerNote,https://github.com/1048362671qqtt/NinjaJc01,['exploit'],1,2022-03-10T16:37:41+0000,0,0,,0,[]
zombibeef/ExploitDev,None,https://github.com/zombibeef/ExploitDev,['exploit'],1,2022-03-10T18:33:53+0000,0,0,,0,[]
GatoGamer1155/CVE-2021-3156,About Script en python sobre la vulnerabilidad CVE-2021-3156,https://github.com/GatoGamer1155/CVE-2021-3156,['cve-2 OR cve_2'],1,2022-03-10T19:10:47+0000,0,0,Python,0,['CVE-2021-3156']
XBrevity/DiscordTokenExploitFix,Patched for the newly founded token logger exploit [ONLY WORKS FOR BROWSER] ,https://github.com/XBrevity/DiscordTokenExploitFix,['exploit'],1,2022-03-10T19:58:35+0000,0,0,Python,0,[]
terabitSec/dirtyPipe-automaticRoot,"CVE-2022-0847 Python exploit to get root or write a no write permission, immutable or read-only mounted file.",https://github.com/terabitSec/dirtyPipe-automaticRoot,['exploit'],1,2022-03-10T20:20:07+0000,0,1,Python,0,['CVE-2022-0847']
0xbl4ckbeard/VulnServer-Exploits,Vulnserver exploits for different commands ,https://github.com/0xbl4ckbeard/VulnServer-Exploits,['exploit'],1,2022-03-10T20:34:03+0000,0,0,Python,0,[]
