full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
rapid7/metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,['metasploit module OR payload'],1,2023-04-01T00:53:17+0000,863206,29847,Ruby,13035,[]
Hacker-cell-dket/Blox-Fruit--Fruit-Finder,The 1st roblox blox fruit fruit finder. No exploits!,https://github.com/Hacker-cell-dket/Blox-Fruit--Fruit-Finder,['exploit'],1,2023-04-01T14:58:34+0000,16,0,,0,[]
ceat-ceat/onimaiexecutor,exploit executor for serverside games,https://github.com/ceat-ceat/onimaiexecutor,['exploit'],1,2023-04-01T12:45:35+0000,169,0,Lua,0,[]
purplg/treebund.el,Exploit git-worktrees to create inter-related project workspaces.,https://github.com/purplg/treebund.el,['exploit'],1,2023-04-01T14:56:48+0000,29,0,Emacs Lisp,0,[]
Jonaspng/CTF_Exploit_website,None,https://github.com/Jonaspng/CTF_Exploit_website,['exploit'],1,2023-04-02T08:47:42+0000,3,0,HTML,0,[]
Rayan25062011/lsf,lsf(LogiSploit-Framework) is an exploiting framework,https://github.com/Rayan25062011/lsf,['exploit'],1,2023-04-01T05:05:12+0000,65,0,Python,0,[]
mohdjishin/blackhat-go,"""Blackhat Go"" Repository: Practical Go programs for cybersecurity, covering network recon, vulnerability scanning, post-exploitation. Valuable resource, regularly updated ",https://github.com/mohdjishin/blackhat-go,['exploit'],1,2023-04-01T10:28:06+0000,13,0,Go,0,[]
gbrsh/wc-uaa-exploit,WooCommerce Payments: Unauthorized Admin Access Exploit,https://github.com/gbrsh/wc-uaa-exploit,['exploit'],1,2023-04-01T09:24:00+0000,3,0,,0,[]
nchng002/Hephaestus,Smash the stack! A repository of binary exploitation and reverse engineering.,https://github.com/nchng002/Hephaestus,['exploit'],1,2023-04-02T15:02:26+0000,6,1,C,0,[]
arkflame/FlamePearls,Alternative pearl algorythm to search for the best positions and avoid bugs and exploits.,https://github.com/arkflame/FlamePearls,['exploit'],1,2023-04-01T00:38:05+0000,11,1,Java,0,[]
farukzzzz/open_source_project,"Generating Payload for three different platforms, and exploit machine using Metasploit framework .",https://github.com/farukzzzz/open_source_project,"['exploit', 'metasploit module OR payload']",2,2023-04-01T18:43:08+0000,1354,0,,0,[]
Mostafaayman666/metasploit-main,None,https://github.com/Mostafaayman666/metasploit-main,['metasploit module OR payload'],1,2023-04-01T14:40:50+0000,1,0,Shell,0,[]
ChrisPritchard/CVE-2021-22911-rust,None,https://github.com/ChrisPritchard/CVE-2021-22911-rust,['cve-2 OR cve_2'],1,2023-04-01T07:19:57+0000,11,0,Rust,0,['CVE-2021-22911']
shawnjb/rbx-aim-assistant,A legit-style aimbot for Roblox.,https://github.com/shawnjb/rbx-aim-assistant,['exploit'],1,2023-04-01T00:18:19+0000,16,0,Lua,0,[]
Sumit-CyberSecurity/Linux-Privilege-Escalation,"Learn the fundamentals of Linux privilege escalation. From enumeration to exploitation, get hands-on with over 8 different privilege escalation techniques.",https://github.com/Sumit-CyberSecurity/Linux-Privilege-Escalation,['exploit'],1,2023-04-01T04:41:18+0000,7,0,,0,[]
BlindEyeSoftworks/IFEO-Exploit-Payload-Sample,An in-depth look at a malicious payload using Windows Image File Execution Options (IFEO) as an attack vector for executing Denial of Service (DoS) attacks on system programs.,https://github.com/BlindEyeSoftworks/IFEO-Exploit-Payload-Sample,['exploit'],1,2023-04-01T03:59:04+0000,453,0,C#,0,[]
codingcore12/SILENT-PDF-EXPLOIT-CLEAN-0s,None,https://github.com/codingcore12/SILENT-PDF-EXPLOIT-CLEAN-0s,['exploit'],1,2023-04-01T04:09:23+0000,0,1,,0,[]
codingcore12/SILENT-EXCEL-XLS-EXPLOIT-CLEAN-0s,None,https://github.com/codingcore12/SILENT-EXCEL-XLS-EXPLOIT-CLEAN-0s,['exploit'],1,2023-04-01T04:10:07+0000,0,1,,0,[]
codingcore12/SILENT-DOC-EXPLOIT-CLEAN-0s,None,https://github.com/codingcore12/SILENT-DOC-EXPLOIT-CLEAN-0s,['exploit'],1,2023-04-01T04:11:05+0000,0,1,,0,[]
s3l33/CVE-2022-25012,Updated version of this weak password encryption script,https://github.com/s3l33/CVE-2022-25012,['cve-2 OR cve_2'],1,2023-04-01T04:38:18+0000,0,0,Python,0,['CVE-2022-25012']
yyxRoy/tcp-exploit-reports,None,https://github.com/yyxRoy/tcp-exploit-reports,['exploit'],1,2023-04-01T04:43:09+0000,0,0,,0,[]
Kyo-w/ManageEngineRce,Postgresql JDBC URL RCE,https://github.com/Kyo-w/ManageEngineRce,['rce'],1,2023-04-01T06:17:44+0000,63,1,Java,0,[]
ArtemAzimov/Exploitation,None,https://github.com/ArtemAzimov/Exploitation,['exploit'],1,2023-04-01T16:37:16+0000,279,0,C++,0,[]
wiemerc/Exploits,Stuff from my experiments in computer security,https://github.com/wiemerc/Exploits,['exploit'],1,2023-04-02T14:32:36+0000,64,0,Jupyter Notebook,0,[]
HehehehawPowerfukl/Scripts-,Some Random Scripts/Exploits,https://github.com/HehehehawPowerfukl/Scripts-,['exploit'],1,2023-04-02T03:16:10+0000,65,0,,0,[]
TURROKS/CVE_Prioritizer,"CVE_Prioritizer combines CVSS, EPSS and CISAs Known Exploited Vulnerabilities to help you prioritize vulnerabilities",https://github.com/TURROKS/CVE_Prioritizer,['exploit'],1,2023-04-01T12:38:20+0000,1575,0,Python,0,[]
NorVirae/mev-bot-cross-exchange,A Maximum Extractable Value bot for exploiting price differences between two DEFI swaps(smart contract),https://github.com/NorVirae/mev-bot-cross-exchange,['exploit'],1,2023-04-01T14:41:06+0000,431,1,Solidity,0,[]
AyoubBenBrahim/42-OverRide,binary exploitation,https://github.com/AyoubBenBrahim/42-OverRide,['exploit'],1,2023-04-01T16:33:22+0000,1366,0,,0,[]
zkoranges/zkPoEX,"zkPoEX enables white hat hackers to report live vulnerabilities in smart contracts while maintaining the confidentiality of the exploit, facilitating efficient communication and collaboration between hackers and project owners for a more secure DeFi ecosys",https://github.com/zkoranges/zkPoEX,['exploit'],1,2023-04-01T11:36:15+0000,563,126,Rust,5,[]
gulpinhenry/CVE2ATT-CK,None,https://github.com/gulpinhenry/CVE2ATT-CK,['cve-2 OR cve_2'],1,2023-04-01T20:04:57+0000,13,0,Jupyter Notebook,0,[]
plusgiant5/TaaprWareV3,"A light and very basic level 8 custom DLL Roblox exploit, updated weekly. UI not included.",https://github.com/plusgiant5/TaaprWareV3,['exploit'],1,2023-04-02T01:57:59+0000,1370,7,C++,2,[]
the-dedsec/lokidroid-v-5,Best php rat 2023,https://github.com/the-dedsec/lokidroid-v-5,['exploit'],1,2023-04-02T12:45:45+0000,180,1,,0,[]
redmojo7/web_lab,"This is a Vulnerable Web Application , which be used to demonstrate how these vulnerabilities can be exploited and to understand how to prevent them.",https://github.com/redmojo7/web_lab,['exploit'],1,2023-04-02T03:23:16+0000,1283,0,JavaScript,0,[]
CoffeeBrewer64/casio-sploit,Documentation and exploit chain for CASIO calculators.,https://github.com/CoffeeBrewer64/casio-sploit,"['exploit', 'sploit']",2,2023-04-01T22:53:34+0000,11,1,,0,[]
HackerooMan/HackerooOVRMenu,A exploit menu for Opposer VR - Roblox.,https://github.com/HackerooMan/HackerooOVRMenu,['exploit'],1,2023-04-01T16:45:57+0000,101,1,,0,[]
weeeeee8/compile,Roblox Exploit Framework,https://github.com/weeeeee8/compile,['exploit'],1,2023-04-01T05:28:44+0000,42,0,Lua,0,[]
Exploitables/DeviceTree-Exploit-LPE,Reference: https://github.com/kasif-dekel/OSR_DeviceTree_Vuln,https://github.com/Exploitables/DeviceTree-Exploit-LPE,['exploit'],1,2023-04-01T20:30:47+0000,22,4,C,2,[]
paulhectork/cours_ens2023_xmltei,"supports  de la journée d'atelier ""MODÉLISER ET EXPLOITER DES CORPUS TEXTUELS"" donnée avec Léa Saint-Raymond à l'ENS-PSL (30.03.2023)",https://github.com/paulhectork/cours_ens2023_xmltei,['exploit'],1,2023-04-01T12:19:51+0000,3702,0,Jupyter Notebook,0,[]
LinWin-Cloud/linwin-sploit,LinwinSploit是一款渗透测试框架，采用Python、Java、Linux Shell、Javascript编写。适用于国产操作系统和Linux操作下Web木马和操作系统木马渗透工具集合，拥有快捷的操作、简单的使用、高效的入侵功能。支持Android、windows、Linux和Web端的渗透控制。设计用于黑帽子黑客渗透，也可以供个人和组织学习借鉴代码,https://github.com/LinWin-Cloud/linwin-sploit,['sploit'],1,2023-04-02T04:28:55+0000,47544,4,Java,0,[]
Altelus1/HEVD_exploits,None,https://github.com/Altelus1/HEVD_exploits,['exploit'],1,2023-04-01T04:47:30+0000,5,0,Python,0,[]
S12cybersecurity/MySQL-DataStealer,"Post-Exploitation Tool to Steal MySQL Data, and with persistence extract all data from MySQL table every time that Windows are opened with a Server to receive the extracted Files",https://github.com/S12cybersecurity/MySQL-DataStealer,['exploit'],1,2023-04-02T12:36:25+0000,2074,2,C++,0,[]
UmangDalvadi/Shell-Scripting,None,https://github.com/UmangDalvadi/Shell-Scripting,['shellcode'],1,2023-04-01T21:53:03+0000,7,1,Shell,0,[]
agarcia50S/HirevueExploit,None,https://github.com/agarcia50S/HirevueExploit,['exploit'],1,2023-04-02T00:08:05+0000,21,0,Python,0,[]
yyxRoy/tcp-exploit,None,https://github.com/yyxRoy/tcp-exploit,['exploit'],1,2023-04-01T04:28:44+0000,2198,0,C++,0,[]
4rmy/UILib,Roblox exploit UI library,https://github.com/4rmy/UILib,['exploit'],1,2023-04-02T13:15:48+0000,1196,0,Lua,0,[]
Vicheans/Exploit-Tasks,None,https://github.com/Vicheans/Exploit-Tasks,['exploit'],1,2023-04-01T06:28:13+0000,9,0,C,0,[]
iridium-soda/CVE-2022-1227_Exploit,A script for exploiting CVE-2022-1227,https://github.com/iridium-soda/CVE-2022-1227_Exploit,"['cve-2 OR cve_2', 'exploit']",2,2023-04-01T09:44:56+0000,11,0,Shell,0,['CVE-2022-1227']
pwncollege/software-exploitation-dojo,Software Exploitation,https://github.com/pwncollege/software-exploitation-dojo,['exploit'],1,2023-04-01T12:38:08+0000,2847,0,,0,[]
Harshit128/metasploit,None,https://github.com/Harshit128/metasploit,['metasploit module OR payload'],1,2023-04-02T04:19:09+0000,0,0,,0,[]
abdulkadirtoklu4/Python-Samba-Usermap-Exploit,None,https://github.com/abdulkadirtoklu4/Python-Samba-Usermap-Exploit,['exploit'],1,2023-04-01T23:31:13+0000,4,0,Python,0,[]
TenebrousScripts/Scripts,These scripts are for exploiting in ROBLOX simulation games,https://github.com/TenebrousScripts/Scripts,['exploit'],1,2023-04-02T03:27:46+0000,22,0,,0,[]
hanicraft/Web-Exploiter, a simple web exploiter using python and pyside2,https://github.com/hanicraft/Web-Exploiter,['exploit'],1,2023-04-02T01:12:04+0000,3,0,Python,1,[]
zacharie410/Exploiting-Web-Apps,This repository explores common web application vulnerabilities and provides practical tips on how to protect against them. It includes examples of real-world attacks and step-by-step instructions on how to exploit vulnerabilities in a safe and controlled ,https://github.com/zacharie410/Exploiting-Web-Apps,['exploit'],1,2023-04-02T01:22:04+0000,20,0,HTML,0,[]
ahmed-kamal-el-maghraby/Metasploit-Notes,None,https://github.com/ahmed-kamal-el-maghraby/Metasploit-Notes,['metasploit module OR payload'],1,2023-04-02T03:07:20+0000,2,0,,0,[]
1nonlycoder/PrisonLifeHax,A exploit for prison life,https://github.com/1nonlycoder/PrisonLifeHax,['exploit'],1,2023-04-02T02:57:05+0000,0,0,,0,[]
codingcore12/SILENT-PDF-EXPLOIT-CLEAN-3x,None,https://github.com/codingcore12/SILENT-PDF-EXPLOIT-CLEAN-3x,['exploit'],1,2023-04-02T03:10:33+0000,1,1,,0,[]
codingcore12/SILENT-DOC-EXPLOIT-CLEAN-3x,None,https://github.com/codingcore12/SILENT-DOC-EXPLOIT-CLEAN-3x,['exploit'],1,2023-04-02T03:12:01+0000,1,1,,0,[]
codingcore12/SILENT-EXCEL-XLS-EXPLOIT-CLEAN-3x,None,https://github.com/codingcore12/SILENT-EXCEL-XLS-EXPLOIT-CLEAN-3x,['exploit'],1,2023-04-02T03:13:23+0000,1,1,,0,[]
makan-dianka/android-metasploit,control an android device remotly,https://github.com/makan-dianka/android-metasploit,['metasploit module OR payload'],1,2023-04-02T10:28:34+0000,2,0,,0,[]
nethuntar/exploit,None,https://github.com/nethuntar/exploit,['exploit'],1,2023-04-01T07:31:53+0000,1,0,HTML,0,[]
Zalushka/EzExploitStore,None,https://github.com/Zalushka/EzExploitStore,['exploit'],1,2023-04-02T08:07:55+0000,22650,0,HTML,0,[]
risheek06/Ace-HACK-bajrangi-exploiters,codes we wrote till now for building smart contracts and blockchain enrollment,https://github.com/risheek06/Ace-HACK-bajrangi-exploiters,['exploit'],1,2023-04-02T09:21:42+0000,3,0,,0,[]
toombaumarkt/NDS-FC2008-Save-Exploit,"A savegame exploit for the game ""Führerschein Coach 2008""",https://github.com/toombaumarkt/NDS-FC2008-Save-Exploit,['exploit'],1,2023-04-02T12:08:19+0000,4,0,Python,0,[]
ph4ge/cve-2018-6574,None,https://github.com/ph4ge/cve-2018-6574,['cve-2 OR cve_2'],1,2023-04-02T15:17:40+0000,28,0,Go,0,['CVE-2018-6574']
7a6163/CVE-2023-28432,None,https://github.com/7a6163/CVE-2023-28432,['cve-2 OR cve_2'],1,2023-04-02T12:43:26+0000,0,0,,0,['CVE-2023-28432']
XCyberToolsX/PDF-EXPLOIT-BUILDER-FUD-2023,🔥PDF EXPLOIT BUILDER FUD /2023🔥PM:  @XCyberToolsX,https://github.com/XCyberToolsX/PDF-EXPLOIT-BUILDER-FUD-2023,['exploit'],1,2023-04-02T14:54:54+0000,6,0,,0,[]
